Id,Label,sex,insttype,country,degree,betweenness,closeness,eigenvector,coreness,freq,polygon
AbarcaP,AbarcaP,Other,Other,Other,11,0,0.006159,0.008796,11,,3
AravenaP,AravenaP,Other,Other,Other,11,0,0.006159,0.008796,11,,3
CalderónC,CalderónC,Other,Other,Other,11,0,0.006159,0.008796,11,,3
FolladorN,FolladorN,Other,Other,Other,11,0,0.006159,0.008796,11,,3
GutiérrezJM,GutiérrezJM,Other,Other,Other,11,0,0.006159,0.008796,11,,3
HenríquezA,HenríquezA,Other,Other,Other,11,0,0.006159,0.008796,11,,3
LeichtleJ,LeichtleJ,Other,Other,Other,11,0,0.006159,0.008796,11,,3
PeñaC,PeñaC,Other,Other,Other,11,0,0.006159,0.008796,11,,3
PincheiraB,PincheiraB,Other,Other,Other,11,0,0.006159,0.008796,11,,3
RodríguezD,RodríguezD,Male,University,Argentina,39,0.039595,0.006188,0.173708,14,7,2
SánchezC,SánchezC,Other,Other,Other,11,0,0.006159,0.008796,11,,3
ToroF,ToroF,Male,University,Chile,11,0,0.006159,0.008796,11,,2
AbudC,AbudC,Other,Other,Other,6,0,0.006168,0.016835,6,,3
CostaP,CostaP,Female,University,Uruguay,9,0.002253,0.006168,0.01742,6,,1
DimitriadisC,DimitriadisC,Other,Other,Other,6,0,0.006168,0.016835,6,,3
FrancoTrecuV,FrancoTrecuV,Female,University,Uruguay,6,0,0.006168,0.016835,6,,1
LaportaP,LaportaP,Female,NGO,Uruguay,42,0.035833,0.006197,0.416072,17,12,1
PassadoreC,PassadoreC,Other,Other,Other,6,0,0.006168,0.016835,6,,3
SzephegyiM,SzephegyiM,Other,Other,Other,6,0,0.006168,0.016835,6,,3
AcevedoGutiérrezA,AcevedoGutiérrezA,Male,University,USA,4,0,0.006025,0,4,,2
DiBerardinisA,DiBerardinisA,Other,Other,Other,4,0,0.006025,0,4,,3
ForestellP,ForestellP,Male,NGO,USA,5,0.008895,0.006053,0,4,,2
LarkinK,LarkinK,Other,Other,Other,4,0,0.006025,0,4,,3
LarkinS,LarkinS,Other,Other,Other,4,0,0.006025,0,4,,3
AdlerF,AdlerF,Other,Other,Other,4,0,0.006175,0.030156,4,,3
FabiánM,FabiánM,Other,Other,Other,6,0.001813,0.006176,0.030595,4,,3
FloresP,FloresP,Male,Government,Brazil,50,0.018096,0.006203,0.756006,23,11,2
GrochK,GrochK,Female,University,Brazil,18,0.000972,0.00618,0.080365,14,,1
PalazzoJ,PalazzoJ,Other,Other,Other,4,0,0.006175,0.030156,4,,3
AlarcónD,AlarcónD,Other,Other,Other,21,0.013291,0.006184,0.163303,15,,3
AlonsoM,AlonsoM,Female,NGO,Brazil,19,0.000339,0.006187,0.204911,15,,1
BazzaloM,BazzaloM,Other,Other,Other,42,0.013662,0.006201,0.535928,17,5,3
BiggsD,BiggsD,Other,Other,Other,6,0,0.006155,0.006598,6,,3
BorobiaM,BorobiaM,Female,Other,Brazil,23,0.001922,0.00619,0.270179,15,3,1
CremerM,CremerM,Other,Other,Other,47,0.020776,0.006202,0.539986,17,7,3
CrespoE,CrespoE,Male,Government,Argentina,55,0.023682,0.006199,0.746513,23,7,2
DornelesP,DornelesP,Other,Other,Other,15,0,0.006183,0.162016,15,,3
DuncanR,DuncanR,Other,Other,Other,6,0,0.006155,0.006598,6,,3
FillaG,FillaG,Other,Other,Other,20,0.000635,0.006188,0.241402,15,,3
JeanSmithK,JeanSmithK,Other,Other,Other,6,0,0.006155,0.006598,6,,3
LailsonBritoJ,LailsonBritoJ,Male,University,Brazil,43,0.008253,0.006193,0.470624,15,6,2
LodiL,LodiL,Female,NGO,Brazil,33,0.006302,0.006192,0.422835,17,6,1
MagalhãesF,MagalhãesF,Female,Government,Brazil,20,0.000939,0.006187,0.200527,15,3,1
MarigoJ,MarigoJ,Female,NGO,Brazil,39,0.00944,0.006192,0.375574,15,6,1
O’HernJE,O’HernJE,Female,NGO,USA,6,0,0.006155,0.006598,6,,1
QueirózH,QueirózH,Other,Other,Other,15,0,0.006183,0.162016,15,,3
ReynoldsJ,ReynoldsJ,Other,Other,Other,15,0,0.006183,0.162016,15,,3
SchaefferY,SchaefferY,Other,Other,Other,15,0,0.006183,0.162016,15,,3
SculleyM,SculleyM,Other,Other,Other,6,0,0.006155,0.006598,6,,3
SloweyN,SloweyN,Other,Other,Other,6,0,0.006155,0.006598,6,,3
WetzelD,WetzelD,Other,Other,Other,15,0,0.006183,0.162016,15,,3
AlfaroShiguetoJ,AlfaroShiguetoJ,Other,Other,Other,4,0,0.006173,0.047333,4,,3
AriasSchreiberM,AriasSchreiberM,Other,Other,Other,4,0,0.006173,0.047333,4,,3
GarcíaGodosI,GarcíaGodosI,Male,NGO,Peru,4,0,0.006173,0.047333,4,,2
ReyesJ,ReyesJ,Other,Other,Other,28,0.002089,0.006195,0.537928,23,3,3
VanWaerebeekK,VanWaerebeekK,Male,NGO,Peru,57,0.026766,0.006202,0.775533,23,11,2
AliagaRosselE,AliagaRosselE,Female,University,Bolivia,10,0.002236,0.006183,0.072262,9,,1
BolañosJiménezJ,BolañosJiménezJ,Male,NGO,Venezuela,71,0.168738,0.006207,0.758859,23,8,2
CaballeroS,CaballeroS,Female,University,New Zealand,39,0.013523,0.006201,0.463981,17,6,1
FerrerPérezA,FerrerPérezA,Other,Other,Other,9,0,0.006183,0.072183,9,,3
GómezSalazarC,GómezSalazarC,Female,NGO,Colombia,15,0.011403,0.006183,0.073131,9,3,1
GuizadaL,GuizadaL,Other,Other,Other,1,0,0.006154,0.002429,1,,3
McGuireT,McGuireT,Female,University,USA,9,0,0.006183,0.072183,9,,1
PoolM,PoolM,Other,Other,Other,15,0.002284,0.006184,0.079089,9,,3
PortocarreroAyaM,PortocarreroAyaM,Other,Other,Other,9,0,0.006183,0.072183,9,,3
TrujilloF,TrujilloF,Male,NGO,Colombia,45,0.036696,0.006199,0.371839,17,10,2
UtrerasV,UtrerasV,Male,NGO,Ecuador,24,0.01266,0.006191,0.183852,11,4,2
AlieviM,AlieviM,Other,Other,Other,3,0,0.006163,0.01177,3,,3
MachadoR,MachadoR,Other,Other,Other,3,0,0.006163,0.01177,3,,3
OliveiraL,OliveiraL,Female,University,Brazil,33,0.027708,0.006192,0.326614,17,8,1
WurdigN,WurdigN,Other,Other,Other,3,0,0.006163,0.01177,3,,3
BertozziC,BertozziC,Female,University,Brazil,23,0.000824,0.00619,0.321099,13,4,1
MontoneR,MontoneR,Other,Other,Other,5,0,0.006182,0.061774,5,,3
SantosM,SantosM,Male,University,Brazil,76,0.047669,0.006206,0.874362,17,16,2
TaniguchiS,TaniguchiS,Other,Other,Other,5,0,0.006182,0.061774,5,,3
AltieriB,AltieriB,Female,NGO,Brazil,2,0,0.006174,0.01968,2,,1
MeirellesA,MeirellesA,Female,NGO,Brazil,56,0.068711,0.006204,0.565793,17,7,1
VianaD,VianaD,Other,Other,Other,2,0,0.006174,0.01968,2,,3
AlvarengaF,AlvarengaF,Other,Other,Other,14,0.000044,0.006185,0.203552,12,3,3
AzevedoA,AzevedoA,Male,University,Brazil,35,0.005926,0.006201,0.526445,17,5,2
BarbosaL,BarbosaL,Other,Other,Other,13,0.002236,0.006185,0.190506,12,,3
DiBenedittoA,DiBenedittoA,Female,University,Brazil,44,0.006994,0.006198,0.696514,23,6,1
FragosoA,FragosoA,Other,Other,Other,34,0.001595,0.006196,0.617389,23,3,3
LimaN,LimaN,Other,Other,Other,13,0.000002,0.006185,0.20074,12,,3
RamosR,RamosR,Female,Other,Brazil,41,0.014084,0.006193,0.430074,14,8,1
SicilianoS,SicilianoS,Other,Other,Other,90,0.063834,0.006208,1,23,19,3
SouzaSP,SouzaSP,Female,NGO,Brazil,7,0.000086,0.006181,0.086465,5,,1
VicenteA,VicenteA,Other,Other,Other,14,0.000044,0.006185,0.203552,12,3,3
ZampirolliE,ZampirolliE,Other,Other,Other,14,0.000044,0.006185,0.203552,12,3,3
ZerbiniA,ZerbiniA,Other,Other,Other,16,0.000286,0.006187,0.234207,12,4,3
AlvesT,AlvesT,Other,Other,Other,3,0,0.006146,0.00069,3,,3
FurtadoNetoM,FurtadoNetoM,Other,Other,Other,7,0.017718,0.006175,0.019158,3,3,3
LienJ,LienJ,Other,Other,Other,3,0,0.006146,0.00069,3,,3
MartinsA,MartinsA,Female,NGO,Brazil,3,0,0.006146,0.00069,3,,1
AlvesV,AlvesV,Other,Other,Other,3,0,0.006179,0.036037,3,,3
MunizPereiraL,MunizPereiraL,Other,Other,Other,3,0,0.006179,0.036037,3,,3
PintoR,PintoR,Male,Government,Brazil,3,0,0.006179,0.036037,3,,2
AlzugarayL,AlzugarayL,Other,Other,Other,5,0,0.006155,0.003495,5,,3
FaifermanP,FaifermanP,Other,Other,Other,5,0,0.006155,0.003495,5,,3
FernándezAjóAA,FernándezAjóAA,Other,Other,Other,5,0,0.006155,0.003495,5,,3
SaezA,SaezA,Other,Other,Other,5,0,0.006155,0.003495,5,,3
SironiM,SironiM,Male,NGO,Argentina,17,0.011097,0.006184,0.089993,12,,2
VilchesF,VilchesF,Other,Other,Other,5,0,0.006155,0.003495,5,,3
AndradeA,AndradeA,Other,Other,Other,5,0,0.006164,0.026315,5,,3
CatãoDiasJ,CatãoDiasJ,Other,Other,Other,17,0.000971,0.006186,0.160881,14,,3
DiasR,DiasR,Other,Other,Other,5,0,0.006164,0.026315,5,,3
OliveiraM,OliveiraM,Other,Other,Other,6,0.000025,0.006165,0.027132,5,,3
RosasF,RosasF,Male,Government,Brazil,29,0.037606,0.006189,0.192939,14,10,2
AndrioloA,AndrioloA,Other,Other,Other,3,0,0.006177,0.034419,3,,3
EngelM,EngelM,Other,Other,Other,6,0.001635,0.006177,0.034922,4,,3
MartinsC,MartinsC,Other,Other,Other,19,0.018611,0.006184,0.099412,7,6,3
MorenoI,MorenoI,Male,NGO,Brazil,68,0.038183,0.006205,0.889618,23,8,2
ApazaM,ApazaM,Other,Other,Other,4,0,0.006163,0.01221,4,,3
OntónK,OntónK,Other,Other,Other,4,0,0.006163,0.01221,4,,3
RocaM,RocaM,Other,Other,Other,4,0,0.006163,0.01221,4,,3
SantillánL,SantillánL,Male,NGO,Peru,4,0,0.006163,0.01221,4,,2
AraújoD,AraújoD,Other,Other,Other,2,0,0.006117,0.000024,2,,3
FreitasJ,FreitasJ,Other,Other,Other,2,0,0.006117,0.000024,2,,3
GurjãoL,GurjãoL,Male,University,Brazil,5,0.004464,0.006146,0.000692,3,,2
AriasA,AriasA,Male,Government,Argentina,8,0.000027,0.006182,0.077583,7,,2
BordinoP,BordinoP,Male,NGO,Argentina,28,0.003041,0.006192,0.336173,14,6,2
DeHaroC,DeHaroC,Other,Other,Other,7,0,0.006181,0.06665,7,,3
FidelixL,FidelixL,Other,Other,Other,7,0,0.006181,0.06665,7,,3
LázaroM,LázaroM,Other,Other,Other,13,0.000577,0.006186,0.154347,7,,3
RochaJ,RochaJ,Other,Other,Other,7,0,0.006181,0.06665,7,,3
WeiskelH,WeiskelH,Female,NGO,USA,8,0.000027,0.006182,0.077583,7,,1
AttademoFLN,AttademoFLN,Other,Other,Other,14,0,0.006177,0.052823,14,,3
BorgesJCG,BorgesJCG,Other,Other,Other,14,0,0.006177,0.052823,14,,3
CamposTM,CamposTM,Other,Other,Other,14,0,0.006177,0.052823,14,,3
JesusAH,JesusAH,Other,Other,Other,14,0,0.006177,0.052823,14,,3
LunaFO,LunaFO,Other,Other,Other,14,0,0.006177,0.052823,14,,3
MarcondesMCC,MarcondesMCC,Other,Other,Other,19,0.00275,0.00618,0.062365,14,,3
NascimentoLF,NascimentoLF,Other,Other,Other,14,0,0.006177,0.052823,14,,3
NormandeI,NormandeI,Other,Other,Other,14,0,0.006177,0.052823,14,,3
ReisMSS,ReisMSS,Other,Other,Other,14,0,0.006177,0.052823,14,,3
SilvaF,SilvaF,Other,Other,Other,30,0.010586,0.006195,0.333165,17,,3
SilvaJrJM,SilvaJrJM,Other,Other,Other,14,0,0.006177,0.052823,14,,3
SoutoL,SoutoL,Male,NGO,Brazil,17,0.005301,0.006177,0.053137,14,,2
VergaraParenteJ,VergaraParenteJ,Other,Other,Other,19,0.007134,0.006178,0.054029,14,3,3
AuriolesGamboaD,AuriolesGamboaD,Male,University,Mexico,4,0.004464,0.006026,0,2,,2
LabradaMartagónV,LabradaMartagónV,Female,University,Mexico,2,0,0.005998,0,2,,1
MartínezDíazS,MartínezDíazS,Other,Other,Other,2,0,0.005998,0,2,,3
MesnickS,MesnickS,Other,Other,Other,8,0.015477,0.006053,0,6,,3
SchrammY,SchrammY,Other,Other,Other,5,0.006684,0.006026,0,3,,3
AvilaI,AvilaI,Female,University,Colombia,26,0.006684,0.006194,0.492856,23,,1
CastineiraE,CastineiraE,Other,Other,Other,23,0,0.006194,0.491124,23,,3
EchegarayM,EchegarayM,Other,Other,Other,25,0.00011,0.006195,0.53331,23,,3
FélixF,FélixF,Male,University,Ecuador,39,0.016096,0.006197,0.584049,23,9,2
FlachL,FlachL,Other,Other,Other,42,0.00445,0.006201,0.749987,23,4,3
HaaseB,HaaseB,Other,Other,Other,25,0.001877,0.006194,0.494495,23,,3
HerreraJ,HerreraJ,Other,Other,Other,23,0,0.006194,0.491124,23,,3
LaetaM,LaetaM,Female,Government,Brazil,26,0.004246,0.006196,0.521906,23,3,1
MayorG,MayorG,Other,Other,Other,3,0,0.006165,0.017761,3,,3
MontesD,MontesD,Other,Other,Other,23,0,0.006194,0.491124,23,,3
OrtegaLF,OrtegaLF,Other,Other,Other,3,0,0.006165,0.017761,3,,3
OttP,OttP,Male,University,Brazil,63,0.040977,0.006206,0.881529,23,9,2
PretelC,PretelC,Other,Other,Other,3,0,0.006165,0.017761,3,,3
SaninoG,SaninoG,Other,Other,Other,34,0.004066,0.006196,0.541522,23,3,3
SouzaSM,SouzaSM,Other,Other,Other,23,0,0.006194,0.491124,23,,3
TobónI,TobónI,Other,Other,Other,23,0,0.006194,0.491124,23,,3
VanBressemM,VanBressemM,Female,NGO,Peru,26,0.00077,0.006195,0.534742,23,3,1
ViddiF,ViddiF,Other,Other,Other,25,0.00011,0.006195,0.53331,23,,3
ÁvilaJM,ÁvilaJM,Other,Other,Other,5,0,0.006176,0.021173,5,,3
DomínguezGarcíaC,DomínguezGarcíaC,Other,Other,Other,5,0,0.006176,0.021173,5,,3
JiménezPinedoC,JiménezPinedoC,Female,University,Colombia,5,0,0.006176,0.021173,5,,1
PalaciosD,PalaciosD,Male,University,USA,26,0.013355,0.006193,0.188847,10,13,2
PardoM,PardoM,Male,University,Mexico,8,0.000013,0.006176,0.026855,5,4,2
AzeredoM,AzeredoM,Other,Other,Other,5,0,0.006173,0.057559,5,,3
MalmO,MalmO,Other,Other,Other,5,0,0.006173,0.057559,5,,3
SaldanhaM,SaldanhaM,Other,Other,Other,5,0,0.006173,0.057559,5,,3
BarriosGarridoH,BarriosGarridoH,Other,Other,Other,23,0.002287,0.006196,0.336297,17,3,3
CunhaH,CunhaH,Female,University,Brazil,19,0.000232,0.006196,0.344961,17,3,1
DomitC,DomitC,Female,University,Brazil,23,0.001546,0.006193,0.336085,17,4,1
FruetP,FruetP,Male,University,Brazil,45,0.018103,0.006199,0.462791,17,11,2
GenovesR,GenovesR,Other,Other,Other,11,0.000202,0.006181,0.106981,8,,3
HoffmannLS,HoffmannLS,Other,Other,Other,22,0.00054,0.006192,0.33146,17,3,3
MayColladoL,MayColladoL,Female,University,Puerto Rico,18,0.002236,0.006194,0.309916,17,,1
MontielVillalobosM,MontielVillalobosM,Other,Other,Other,23,0.002287,0.006196,0.336297,17,3,3
RossiSantosM,RossiSantosM,Male,NGO,Brazil,29,0.01969,0.006199,0.378016,17,6,2
SimõesLopesP,SimõesLopesP,Male,University,Brazil,47,0.02463,0.006202,0.561907,17,9,2
ZappesCA,ZappesCA,Female,University,Brazil,12,0.000131,0.006184,0.141575,8,3,1
BacharaW,BacharaW,Male,Other,Poland,9,0.006939,0.006179,0.065222,3,3,2
GilkesMW,GilkesMW,Other,Other,Other,3,0,0.006178,0.028667,3,,3
IbarraPortilloR,IbarraPortilloR,Other,Other,Other,3,0,0.00615,0.00235,3,,3
MartínezDeNavasE,MartínezDeNavasE,Other,Other,Other,3,0,0.00615,0.00235,3,,3
MignucciGiannoniA,MignucciGiannoniA,Male,University,Puerto Rico,5,0.004464,0.006178,0.028732,3,,2
PinedaL,PinedaL,Other,Other,Other,3,0,0.00615,0.00235,3,,3
SchwarzN,SchwarzN,Other,Other,Other,3,0,0.006168,0.038447,3,,3
BakerA,BakerA,Other,Other,Other,9,0,0.006185,0.105819,9,,3
GedamkeJ,GedamkeJ,Other,Other,Other,9,0,0.006185,0.105819,9,,3
IñíguezM,IñíguezM,Male,NGO,Argentina,26,0.026895,0.006194,0.216844,12,4,2
SecchiE,SecchiE,Male,University,Brazil,61,0.046885,0.006202,0.606824,16,20,2
SutariaD,SutariaD,Other,Other,Other,9,0,0.006185,0.105819,9,,3
vanHeldenA,vanHeldenA,Other,Other,Other,9,0,0.006185,0.105819,9,,3
WangY,WangY,Other,Other,Other,9,0,0.006185,0.105819,9,,3
BakerC,BakerC,Other,Other,Other,11,0,0.006183,0.116503,11,,3
BeltránPedrerosS,BeltránPedrerosS,Other,Other,Other,15,0.000483,0.006184,0.12513,11,3,3
HeimeierD,HeimeierD,Other,Other,Other,11,0,0.006183,0.116503,11,,3
MarmontelM,MarmontelM,Female,NGO,Brazil,40,0.051901,0.006195,0.230454,11,18,1
SantosF,SantosF,Other,Other,Other,11,0,0.006183,0.116503,11,,3
ViannaJ,ViannaJ,Other,Other,Other,11,0,0.006183,0.116503,11,,3
BarachoC,BarachoC,Other,Other,Other,17,0,0.006191,0.290219,17,,3
BarretoAS,BarretoAS,Male,University,Brazil,22,0.002817,0.006191,0.295634,17,3,2
BottaS,BottaS,Female,University,Brazil,19,0.000269,0.006192,0.316016,17,,1
DallaRosaL,DallaRosaL,Other,Other,Other,29,0.004629,0.006194,0.38117,17,5,3
MarchesiMC,MarchesiMC,Other,Other,Other,27,0.003558,0.006195,0.341681,17,,3
VermeulenE,VermeulenE,Female,University,South Africa,31,0.008572,0.006196,0.362838,17,5,1
WickertJ,WickertJ,Other,Other,Other,17,0,0.006191,0.290219,17,,3
NettoR,NettoR,Male,NGO,Brazil,1,0,0.006156,0.006404,1,,2
BarcellosJ,BarcellosJ,Other,Other,Other,2,0,0.006159,0.006711,2,,3
OliveiraG,OliveiraG,Male,University,Brazil,2,0,0.006159,0.006711,2,,2
BarcellosL,BarcellosL,Other,Other,Other,3,0,0.006177,0.041083,3,,3
BarnicoatS,BarnicoatS,Other,Other,Other,14,0,0.006152,0.00611,14,,3
BordinA,BordinA,Female,NGO,French Guia,27,0.013919,0.00618,0.039838,14,3,1
DeffesO,DeffesO,Other,Other,Other,14,0,0.006152,0.00611,14,,3
GeraldesD,GeraldesD,Other,Other,Other,14,0,0.006152,0.00611,14,,3
LeclercB,LeclercB,Other,Other,Other,14,0,0.006152,0.00611,14,,3
LenrumeP,LenrumeP,Other,Other,Other,14,0,0.006152,0.00611,14,,3
MartinezL,MartinezL,Other,Other,Other,14,0,0.006152,0.00611,14,,3
MarzelièreM,MarzelièreM,Other,Other,Other,14,0,0.006152,0.00611,14,,3
MontgolfierB,MontgolfierB,Other,Other,Other,21,0.008373,0.006179,0.037361,14,,3
PusineriC,PusineriC,Female,NGO,French Guia,14,0,0.006152,0.00611,14,,1
RinaldiR,RinaldiR,Other,Other,Other,14,0,0.006152,0.00611,14,,3
RufrayV,RufrayV,Other,Other,Other,14,0,0.006152,0.00611,14,,3
SafiM,SafiM,Other,Other,Other,21,0.008373,0.006179,0.037361,14,,3
SuardiA,SuardiA,Other,Other,Other,14,0,0.006152,0.00611,14,,3
WyssV,WyssV,Other,Other,Other,14,0,0.006152,0.00611,14,,3
BarragánBarreraDC,BarragánBarreraDC,Other,Other,Other,8,0,0.006178,0.033681,8,,3
BouveretL,BouveretL,Other,Other,Other,8,0,0.006178,0.033681,8,,3
CourtinB,CourtinB,Male,NGO,Guadeloupe,8,0,0.006178,0.033681,8,,2
DuporgeN,DuporgeN,Other,Other,Other,8,0,0.006178,0.033681,8,,3
FeunteunA,FeunteunA,Other,Other,Other,8,0,0.006178,0.033681,8,,3
MillonC,MillonC,Other,Other,Other,8,0,0.006178,0.033681,8,,3
KolesnikovasCKM,KolesnikovasCKM,Other,Other,Other,6,0,0.006173,0.033304,6,,3
MoreiraLMP,MoreiraLMP,Other,Other,Other,6,0,0.006173,0.033304,6,,3
OliveiraA,OliveiraA,Female,University,Brazil,6,0,0.006173,0.033304,6,,1
PontaltiM,PontaltiM,Other,Other,Other,6,0,0.006173,0.033304,6,,3
SerafiniPP,SerafiniPP,Other,Other,Other,6,0,0.006173,0.033304,6,,3
BarrosN,BarrosN,Other,Other,Other,4,0,0.006155,0.001239,4,,3
EstesS,EstesS,Other,Other,Other,4,0,0.006155,0.001239,4,,3
FertlD,FertlD,Female,Other,USA,10,0.079596,0.006184,0.033131,4,3,1
RichlenM,RichlenM,Other,Other,Other,4,0,0.006155,0.001239,4,,3
RowlettR,RowlettR,Other,Other,Other,4,0,0.006155,0.001239,4,,3
BassoiM,BassoiM,Female,University,Brazil,15,0.000236,0.006186,0.159125,14,,1
BastidaR,BastidaR,Other,Other,Other,43,0.020256,0.006195,0.40237,14,8,3
CaonG,CaonG,Other,Other,Other,17,0.001395,0.006189,0.200692,14,,3
DanilewiczD,DanilewiczD,Male,NGO,Brazil,27,0.00261,0.006191,0.309882,14,8,2
MuelbertM,MuelbertM,Female,University,Brazil,17,0.001077,0.006187,0.186422,14,4,1
RochaA,RochaA,Other,Other,Other,14,0,0.006186,0.158287,14,,3
RuoppoloV,RuoppoloV,Other,Other,Other,14,0,0.006186,0.158287,14,,3
ShepherdJG,ShepherdJG,Other,Other,Other,2,0,0.006172,0.025747,2,,3
BerninsoneLG,BerninsoneLG,Other,Other,Other,12,0,0.006183,0.089424,12,,3
BrägerS,BrägerS,Other,Other,Other,12,0,0.006183,0.089424,12,,3
FaillaM,FaillaM,Male,NGO,Argentina,13,0.000329,0.006184,0.089919,12,,2
GerpeM,GerpeM,Female,University,Argentina,4,0,0.006167,0.02076,4,,1
HarrisG,HarrisG,Other,Other,Other,12,0,0.006183,0.089424,12,,3
HerediaS,HerediaS,Other,Other,Other,4,0,0.006169,0.026354,4,,3
