"","name","gender","instType","country","lead","degOut","degIn","bet","eig","close","cores","res","degAll","vertID"
"LimaN","LimaN",NA,NA,NA,"N",NA,2,0,0.154831561722654,1.79009362189643e-05,2,1.27151202441812,2,198
"LimaR","LimaR",NA,NA,NA,"N",NA,1,0,0,6.3446140571269e-06,1,0.276803592808417,1,199
"LittleV","LittleV",NA,NA,NA,"N",NA,1,0,0,6.4751741821855e-06,1,0.276803592808417,1,200
"LluchBeldaD","LluchBeldaD",NA,NA,NA,"N",NA,1,0,0,6.67962513943718e-06,1,0.276803592808417,1,201
"LodiL","LodiL",NA,NA,NA,"N",NA,1,0,0.051627899716061,1.79076680634648e-05,1,0.239475404352193,1,202
"LópezP","LópezP",NA,NA,NA,"N",NA,1,0,0,6.31293204128658e-06,1,0.276803592808417,1,203
"LoureiroJ","LoureiroJ",NA,NA,NA,"N",NA,1,0,0.0118267155416289,1.78145152670396e-05,1,0.158536437392128,1,204
"MachadoR","MachadoR",NA,NA,NA,"N",NA,1,0,0.00397443678303731,1.78332590280874e-05,1,0.237059224978044,1,205
"MagalhãesF","MagalhãesF","Female","Government","Brazil","Y",3,2,98.9666666666667,0.101847663805623,1.79323948713351e-05,3,0.0951639582702338,5,206
"MahlerB","MahlerB",NA,NA,NA,"N",NA,1,0,0,6.54244739872291e-06,1,0.276803592808417,1,207
"MaiaD","MaiaD",NA,NA,NA,"N",NA,1,0,0.000263839161275714,1.77698800533096e-05,1,0.27416520119566,1,208
"MaiaNogueiraR","MaiaNogueiraR","Male","NGO","Brazil","Y",1,1,1,0,6.32887358707897e-06,1,0.283336187153088,2,209
"MalmO","MalmO",NA,NA,NA,"N",NA,1,0,0.0302531297955328,1.78721426911872e-05,1,0.0257277051469104,1,210
"MarigoJ","MarigoJ","Female","NGO","Brazil","Y",5,5,179.666666666667,0.270211479860181,1.7950420937371e-05,4,1.25162175520089,10,211
"MarmontelM","MarmontelM",NA,NA,NA,"N",NA,2,0,0.0707985978522804,1.78868478008121e-05,2,0.431182385714387,2,212
"MarquesF","MarquesF",NA,NA,NA,"N",NA,1,0,0.00542557684555615,1.78313510814714e-05,1,0.222547824352856,1,213
"MartinA","MartinA",NA,NA,NA,"N",NA,1,0,0.000754112353928078,1.77986615406521e-05,1,0.269262469269137,1,214
"MartínezDíazS","MartínezDíazS",NA,NA,NA,"N",NA,1,0,0,6.6785990970534e-06,1,0.276803592808417,1,215
"MartinezP","MartinezP",NA,NA,NA,"N",NA,1,0,0,6.54244739872291e-06,1,0.276803592808417,1,216
"MartinsA","MartinsA","Female","NGO","Brazil","Y",3,NA,0,0.00026168229400384,1.77736700851359e-05,1,0.274186769868379,3,217
"MartinsC","MartinsC",NA,NA,NA,"N",NA,2,0,0.0258535621656261,1.78974120342199e-05,2,0.0182679711521562,2,218
"MattosG","MattosG",NA,NA,NA,"N",NA,2,0,0.0273854192707776,1.78616082592077e-05,2,0.00294940010064184,2,219
"MattosP","MattosP","Male","University","Brazil","Y",2,NA,0,0.0131549664554235,1.78504489387908e-05,1,0.145253928254182,2,220
"MayColladoL","MayColladoL","Female","University","PuertoRico","Y",1,1,4,0.0293747177780738,1.79221105077334e-05,1,0.00918679240636244,2,221
"McGuireT","McGuireT","Female","University","USA","Y",NA,1,0,0.00511077917810427,1.78396218000178e-05,1,0.225695801027375,1,222
"MeirellesA","MeirellesA","Female","NGO","Brazil","Y",4,3,23.5,0.0306720603199857,1.79336812467495e-05,2,0.123598956708322,7,223
"MejíaFajardoA","MejíaFajardoA",NA,NA,NA,"N",NA,1,0,0.00412710535894658,1.78021469389208e-05,1,0.235532539218952,1,224
"MelloD","MelloD","Female","Government","Brazil","Y",2,NA,0,0.00830305186094774,1.78817302362177e-05,1,0.19377307419894,2,225
"MendezM","MendezM",NA,NA,NA,"N",NA,1,0,0,6.28136757934938e-06,1,0.276803592808417,1,226
"MeneghetiJ","MeneghetiJ",NA,NA,NA,"N",NA,1,0,0.000389810215984882,1.77673542632767e-05,1,0.272905490648569,1,227
"MerlenG","MerlenG",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,228
"MesnickS","MesnickS",NA,NA,NA,"N",NA,2,0,0,6.6811871133263e-06,1,0.276803592808417,2,229
"MignucciGiannoniA","MignucciGiannoniA","Male","University","PuertoRico","Y",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,230
"MolinaSchillerD","MolinaSchillerD","Female","University","Brazil","Y",5,NA,0,0,6.54167702432195e-06,3,0.276803592808417,5,231
"MonteiroD","MonteiroD",NA,NA,NA,"N",NA,1,0,0.0466307473092632,1.78673527730132e-05,1,0.189503880284215,1,232
"MonteiroFilhoE","MonteiroFilhoE",NA,NA,NA,"N",NA,2,0,0.0248703466141889,1.78996545366674e-05,2,0.028100126666528,2,233
"MonteiroM","MonteiroM","Female","University","Brazil","Y",3,NA,0,0,6.31301174851486e-06,1,0.276803592808417,3,234
"MontesD","MontesD",NA,NA,NA,"N",NA,1,0,0.0338453351379079,1.79256444269171e-05,1,0.0616497585706614,1,235
"MontielVillalobosM","MontielVillalobosM",NA,NA,NA,"N",NA,3,0,0.0999310062022093,1.79272512145713e-05,3,0.722506469213676,3,236
"MontoneR","MontoneR",NA,NA,NA,"N",NA,1,0,0.0147528562528693,1.78679912804203e-05,1,0.129275030279724,1,237
"MontoyaOspinaR","MontoyaOspinaR",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,238
"MonzónF","MonzónF",NA,NA,NA,"N",NA,1,0,0,6.54244739872291e-06,1,0.276803592808417,1,239
"MoragaR","MoragaR",NA,NA,NA,"N",NA,1,0,0,6.31293204128658e-06,1,0.276803592808417,1,240
"MoralesVelaB","MoralesVelaB",NA,NA,NA,"N",NA,1,0,0,6.31293204128658e-06,1,0.276803592808417,1,241
"MorenoI","MorenoI","Male","NGO","Brazil","Y",8,4,530.998412698413,0.279882142176286,1.79794674481742e-05,4,0.946779398868328,12,242
"MorenoJ","MorenoJ",NA,NA,NA,"N",NA,1,0,0.00272191951879456,1.77613583886896e-05,1,0.249584397620472,1,243
"MorenoV","MorenoV",NA,NA,NA,"N",NA,1,0,0.00272191951879456,1.77613583886896e-05,1,0.249584397620472,1,244
"MoreteM","MoreteM","Female","NGO","Brazil","Y",4,NA,0,0.00477499987061183,1.78161021931622e-05,2,0.229053594102299,4,245
"MorganteJ","MorganteJ",NA,NA,NA,"N",NA,1,0,0.00397443678303731,1.78332590280874e-05,1,0.237059224978044,1,246
"MorónS","MorónS",NA,NA,NA,"N",NA,1,0,0.0118267155416289,1.78145152670396e-05,1,0.158536437392128,1,247
"MottaM","MottaM","Female","NGO","Brazil","Y",1,1,0.5,0.000521149165392492,1.77705116130293e-05,2,0.274858398326828,2,248
"MouraJ","MouraJ","Male","Government","Brazil","Y",1,1,0,0.0462702688668293,1.79256444269171e-05,2,0.185899095859875,2,249
"MouraL","MouraL",NA,NA,NA,"N",NA,1,0,0.000766869256744457,1.77999288002848e-05,1,0.269134900240973,1,250
"MuelbertM","MuelbertM","Female","University","Brazil","Y",1,3,144,0.173658621159736,1.7940759611762e-05,2,0.519089033156358,4,251
"MunizPereiraL","MunizPereiraL",NA,NA,NA,"N",NA,1,0,0.00351248505497554,1.78256296903688e-05,1,0.241678742258662,1,252
"NavarreteS","NavarreteS",NA,NA,NA,"N",NA,1,0,0,6.37702231320107e-06,1,0.276803592808417,1,253
"NayaD","NayaD",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,254
"NegriM","NegriM",NA,NA,NA,"N",NA,2,0,0,6.54244739872291e-06,2,0.276803592808417,2,255
"NettoD","NettoD",NA,NA,NA,"N",NA,1,0,0.066762183718241,1.79144049730388e-05,1,0.390818244373993,1,256
"NettoR","NettoR","Male","NGO","Brazil","Y",1,NA,0,0.00708965525623061,1.78183243647767e-05,1,0.205907040246111,1,257
"NunesJ","NunesJ",NA,NA,NA,"N",NA,1,0,0,6.32875342543779e-06,1,0.276803592808417,1,258
"OlavarríaC","OlavarríaC",NA,NA,NA,"N",NA,1,0,0.066762183718241,1.79144049730388e-05,1,0.390818244373992,1,259
"OliveiraG","OliveiraG","Male","University","Brazil","Y",2,NA,0,0.0138065990399876,1.78622463561017e-05,1,0.138737602408541,2,260
"OliveiraL","OliveiraL","Female","University","Brazil","Y",5,4,170,0.0437599975066365,1.79166517361236e-05,2,0.949744656336073,9,261
"OliveiraM","OliveiraM",NA,NA,NA,"N",NA,2,0,0.0382342659869946,1.78862079450536e-05,2,0.105539067061529,2,262
"OllervidesF","OllervidesF",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,263
"OlsonP","OlsonP",NA,NA,NA,"N",NA,1,0,0,6.31293204128658e-06,1,0.276803592808417,1,264
"OlssonP","OlssonP",NA,NA,NA,"N",NA,1,0,0.0118267155416289,1.78145152670396e-05,1,0.158536437392128,1,265
"OntónK","OntónK",NA,NA,NA,"N",NA,1,0,0.000370131872611272,1.77525297354873e-05,1,0.273102274082305,1,266
"OttP","OttP","Male","NGO","Brazil","Y",12,5,704.756782106782,0.762116988885149,1.79888469149128e-05,5,2.74047612688398,17,267
"PaceR","PaceR",NA,NA,NA,"N",NA,1,0,0.000433682271619858,1.77336407164391e-05,1,0.272466770092219,1,268
"PachecoA","PachecoA","Male","University","Chile","Y",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,269
"PacíficoE","PacíficoE",NA,NA,NA,"N",NA,1,0,0.066762183718241,1.79144049730388e-05,1,0.390818244373993,1,270
"PadillaSaldivarJ","PadillaSaldivarJ",NA,NA,NA,"N",NA,1,0,0,6.31293204128658e-06,1,0.276803592808417,1,271
"PalaciosD","PalaciosD","Male","University","USA","Y",2,5,64,0.100976568749445,1.79253231039489e-05,4,0.314876056627111,7,272
"PalavecinoP","PalavecinoP",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,273
"PalazzoJ","PalazzoJ",NA,NA,NA,"N",NA,1,0,0.00271634386705519,1.78450337271137e-05,1,0.249640154137866,1,274
"ParadaI","ParadaI",NA,NA,NA,"N",NA,1,0,0.066762183718241,1.79144049730388e-05,1,0.390818244373993,1,275
"PardoM","PardoM","Male","University","México","Y",8,NA,0,0.0454409341690698,1.78852482472457e-05,4,0.177605748882281,8,276
"ParenteC","ParenteC","Male","Other","Brazil","Y",2,NA,0,0,6.34477507772349e-06,1,0.276803592808417,2,277
"PassadoreC","PassadoreC",NA,NA,NA,"N",NA,1,0,0,6.47525803903286e-06,1,0.276803592808417,1,278
"PaszkiewiczE","PaszkiewiczE",NA,NA,NA,"N",NA,1,0,0,6.34469456640357e-06,1,0.276803592808417,1,279
"PayneR","PayneR",NA,NA,NA,"N",NA,1,0,0,6.68056223611779e-06,1,0.276803592808417,1,280
"PérezAlvarezM","PérezAlvarezM",NA,NA,NA,"N",NA,1,0,0,6.31293204128658e-06,1,0.276803592808417,1,281
"PérezCortésH","PérezCortésH",NA,NA,NA,"N",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,282
"PérezF","PérezF",NA,NA,NA,"N",NA,1,0,0,6.54244739872291e-06,1,0.276803592808417,1,283
"PerezJ","PerezJ",NA,NA,NA,"N",NA,1,0,0.0692181436514802,1.79047823673703e-05,1,0.415377843706384,1,284
"PiedraM","PiedraM",NA,NA,NA,"N",NA,1,0,0,6.47509032751007e-06,1,0.276803592808417,1,285
"PinedoM","PinedoM",NA,NA,NA,"N",NA,3,0,0,6.54099239936683e-06,3,0.276803592808417,3,286
"PinosL","PinosL",NA,NA,NA,"N",NA,1,0,0.00128634743401003,1.78189593727726e-05,1,0.263940118468317,1,287
"PintoR","PintoR","Male","Government","Brazil","Y",3,NA,0,0.038673740617498,1.79089508936567e-05,1,0.109933813366563,3,288
"PoolM","PoolM",NA,NA,NA,"N",NA,1,0,0.00511077917810427,1.78396218000178e-05,1,0.225695801027375,1,289
"PortocarreroAyaM","PortocarreroAyaM",NA,NA,NA,"N",NA,1,0,0.00511077917810428,1.78396218000178e-05,1,0.225695801027375,1,290
"PraderiR","PraderiR",NA,NA,NA,"N",NA,3,0,0,6.4755096226073e-06,2,0.276803592808417,3,291
"QueirózH","QueirózH",NA,NA,NA,"N",NA,1,0,0.051627899716061,1.79076680634648e-05,1,0.239475404352193,1,292
"RamosR","RamosR","Female","Other","Brazil","Y",21,6,1133.52337662338,0.852375962280887,1.79849645696198e-05,4,0.842107630318542,27,293
"RangelM","RangelM",NA,NA,NA,"N",NA,1,0,0,6.3448153341497e-06,1,0.276803592808417,1,294
"ReyesJ","ReyesJ",NA,NA,NA,"N",NA,2,0,0.0362350374846836,1.79275726066691e-05,2,0.0855467820384187,2,295
"ReynoldsJ","ReynoldsJ",NA,NA,NA,"N",NA,1,0,0.051627899716061,1.79076680634648e-05,1,0.239475404352193,1,296
"RibeiroA","RibeiroA",NA,NA,NA,"N",NA,1,0,0.00278574432571213,1.78501303059512e-05,1,0.248946149551296,1,297
"RichlenM","RichlenM",NA,NA,NA,"N",NA,1,0,0.00068251049502748,1.78021469389208e-05,1,0.269978487858143,1,298
"RitterR","RitterR",NA,NA,NA,"N",NA,1,0,0,6.37702231320107e-06,1,0.276803592808417,1,299
"RiveroL","RiveroL",NA,NA,NA,"N",NA,1,0,0.0118267155416289,1.78145152670396e-05,1,0.158536437392128,1,300
"RocaM","RocaM",NA,NA,NA,"N",NA,1,0,0.000370131872611273,1.77525297354873e-05,1,0.273102274082305,1,301
"RochaA","RochaA",NA,NA,NA,"N",NA,1,0,0.0691792642022599,1.78916481786302e-05,1,0.414989049214182,1,302
"RochaC","RochaC",NA,NA,NA,"N",NA,1,0,0.0136927096353888,1.78616082592077e-05,1,0.13987649645453,1,303
"RochaJ","RochaJ",NA,NA,NA,"N",NA,1,0,0.00634421624467933,1.78475816526861e-05,1,0.213361430361624,1,304
"RodriguesA","RodriguesA",NA,NA,NA,"N",NA,1,0,0.000766869256744457,1.77999288002848e-05,1,0.269134900240973,1,305
"RodriguesE","RodriguesE",NA,NA,NA,"N",NA,1,0,0.00823456072637812,1.78810907465355e-05,1,0.194457985544636,1,306
"RodríguezD","RodríguezD","Male","University","Argentina","Y",8,2,160,0.130216448484525,1.78977323573103e-05,4,0.019854203110478,10,307
"RojasBrachoL","RojasBrachoL",NA,NA,NA,"N",NA,1,0,0,6.31293204128658e-06,1,0.276803592808417,1,308
"RosalesS","RosalesS",NA,NA,NA,"N",NA,1,0,0,6.54099239936683e-06,1,0.276803592808417,1,309
"RosasF","RosasF","Male","Government","Brazil","Y",8,3,271.5,0.150761723538045,1.79452669358457e-05,4,0.54278572200606,11,310
"RossiSantosM","RossiSantosM","Male","NGO","Brazil","Y",4,4,162,0.123069856944254,1.7950420937371e-05,4,0.104385307202536,8,311
"RossoC","RossoC",NA,NA,NA,"N",NA,1,0,0,6.3448153341497e-06,1,0.276803592808417,1,312
"RossoS","RossoS",NA,NA,NA,"N",NA,1,0,0.066762183718241,1.79144049730388e-05,1,0.390818244373993,1,313
"RowlettR","RowlettR",NA,NA,NA,"N",NA,1,0,0.000682510495027479,1.78021469389208e-05,1,0.269978487858143,1,314
"RubioCisnerosN","RubioCisnerosN","Female","Government","México","Y",6,NA,0,0,6.68163352576438e-06,1,0.276803592808417,6,315
"RuoppoloV","RuoppoloV",NA,NA,NA,"N",NA,1,0,0.0691792642022599,1.78916481786302e-05,1,0.414989049214182,1,316
"SalazarS","SalazarS",NA,NA,NA,"N",NA,1,0,0.00917104689052663,1.78418498429917e-05,1,0.185093123903151,1,317
"SaldanhaM","SaldanhaM",NA,NA,NA,"N",NA,1,0,0.0302531297955328,1.78721426911872e-05,1,0.0257277051469103,1,318
"SalinasC","SalinasC",NA,NA,NA,"N",NA,1,0,0,6.37702231320107e-06,1,0.276803592808417,1,319
"SalvadeoC","SalvadeoC","Male","University","México","Y",3,NA,0,0,6.68069612853659e-06,2,0.276803592808417,3,320
"SanctisB","SanctisB",NA,NA,NA,"N",NA,1,0,0.00972328094163633,1.78539546509552e-05,1,0.179570783392054,1,321
"SanfeliceD","SanfeliceD","Female","University","Brazil","Y",1,1,1,0,6.54261861767554e-06,2,0.283336187153088,2,322
"SaninoG","SaninoG",NA,NA,NA,"N",NA,3,0,0.0790181711225119,1.79333596355941e-05,3,0.513378118416701,3,323
"SantillánL","SantillánL","Male","NGO","Perú","Y",4,NA,0,0.00407528681591427,1.78351673830459e-05,1,0.236050724649275,4,324
"SantosF","SantosF",NA,NA,NA,"N",NA,2,0,0.0707985978522804,1.78868478008121e-05,2,0.431182385714386,2,325
"SantosM","SantosM","Male","University","Brazil","Y",25,6,1521.17186147186,0.73507597491969,1.79985601151908e-05,4,2.86324254313482,31,326
"SantosR","SantosR",NA,NA,NA,"N",NA,1,0,2.41723870021179e-05,1.76928520877565e-05,1,0.276561868938396,1,327
"SantosW","SantosW",NA,NA,NA,"N",NA,1,0,0.00720958704442411,1.78195944260309e-05,1,0.204707722364176,1,328
"SaubidetA","SaubidetA",NA,NA,NA,"N",NA,1,0,0,6.54244739872291e-06,1,0.276803592808417,1,329
"SayeghA","SayeghA",NA,NA,NA,"N",NA,1,0,0,6.3448153341497e-06,1,0.276803592808417,1,330
"SchaefferY","SchaefferY",NA,NA,NA,"N",NA,1,0,0.051627899716061,1.79076680634648e-05,1,0.239475404352193,1,331
"SchrammY","SchrammY",NA,NA,NA,"N",NA,2,0,0,6.67984823384813e-06,1,0.276803592808417,2,332
"SecchiE","SecchiE","Male","University","Brazil","Y",15,10,1655.68398268398,1,1.80021242506616e-05,5,1.09271541465168,25,333
"SepúlvedaM","SepúlvedaM","Female","NGO","Chile","Y",3,NA,0,0,6.31301174851486e-06,1,0.276803592808417,3,334
"SequeiraM","SequeiraM",NA,NA,NA,"N",NA,1,0,0.022586417992302,1.78942094338272e-05,1,0.0509394128853976,1,335
"SerranoA","SerranoA","Male","University","México","Y",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,336
"SicilianoS","SicilianoS",NA,NA,NA,"N",NA,14,0,0.418787009141282,1.79917597740235e-05,4,3.9110664986044,14,337
"SilvaC","SilvaC",NA,NA,NA,"N",NA,2,0,0.00283307692467013,1.78507675830061e-05,2,0.248472823561716,2,338
"SilvaE","SilvaE",NA,NA,NA,"N",NA,1,0,0.066762183718241,1.79144049730388e-05,1,0.390818244373992,1,339
"SilvaF","SilvaF",NA,NA,NA,"N",NA,1,0,0.0291324083499289,1.79214681266689e-05,1,0.0145204906908718,1,340
"SilvaK","SilvaK",NA,NA,NA,"N",NA,1,0,0.0466307473092632,1.78673527730132e-05,1,0.189503880284215,1,341
"SilvaM","SilvaM",NA,NA,NA,"N",NA,1,0,0.000766869256744459,1.77999288002848e-05,1,0.269134900240973,1,342
"SilvaS","SilvaS",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,343
"SimõesLopesP","SimõesLopesP","Male","University","Brazil","Y",1,3,37,0.034226974400785,1.7930465654193e-05,2,0.176239839553383,4,344
"SoaresFilhoA","SoaresFilhoA",NA,NA,NA,"N",NA,1,0,0.00278574432571214,1.78501303059512e-05,1,0.248946149551296,1,345
"SoléCavaA","SoléCavaA","Male","University","Brazil","Y",5,NA,0,0.0914604859597206,1.79591250314285e-05,3,0.637801266788788,5,346
"SonninoSorisioL","SonninoSorisioL","Male","Other","Italy","Y",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,347
"SousaLimaR","SousaLimaR",NA,NA,NA,"N",NA,1,0,0.0111776369788001,1.78667143112382e-05,1,0.165027223020416,1,348
"SoutoL","SoutoL","Male","NGO","Brazil","Y",3,NA,0,0,6.32891364197336e-06,1,0.276803592808417,3,349
"SouzaSM","SouzaSM",NA,NA,NA,"N",NA,2,0,0.0419635981356642,1.79282154254366e-05,2,0.142832388548225,2,350
"SouzaSP","SouzaSP","Female","NGO","Brazil","Y",3,1,57.0333333333333,0.107056866919686,1.79375414805647e-05,2,0.421189445597394,4,351
"StolenM","StolenM",NA,NA,NA,"N",NA,1,0,0.0201671755276048,1.78778939840887e-05,1,0.0751318375323699,1,352
"SuarezA","SuarezA","Female","Government","Argentina","Y",3,NA,0,0,6.54296108246748e-06,2,0.276803592808417,3,353
"SuárezE","SuárezE",NA,NA,NA,"N",NA,1,0,0.00128634743401004,1.78189593727726e-05,1,0.263940118468317,1,354
"SutariaD","SutariaD",NA,NA,NA,"N",NA,1,0,0.022586417992302,1.78942094338272e-05,1,0.0509394128853974,1,355
"SvendsenG","SvendsenG",NA,NA,NA,"N",NA,1,0,0.00489004398381785,1.78269007932971e-05,1,0.227903152970239,1,356
"SzephegyiM","SzephegyiM",NA,NA,NA,"N",NA,1,0,0,6.47525803903286e-06,1,0.276803592808417,1,357
"SzterenD","SzterenD","Female","University","Uruguay","Y",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,358
"TaniguchiS","TaniguchiS",NA,NA,NA,"N",NA,1,0,0.0147528562528693,1.78679912804203e-05,1,0.129275030279724,1,359
"TobónI","TobónI",NA,NA,NA,"N",NA,1,0,0.0338453351379079,1.79256444269171e-05,1,0.0616497585706614,1,360
"TomsinA","TomsinA",NA,NA,NA,"N",NA,1,0,0.0112383928420591,1.78683105512374e-05,1,0.164419664387826,1,361
"TonelloA","TonelloA",NA,NA,NA,"N",NA,1,0,0.00172616252353381,1.7815150003563e-05,1,0.259541967573079,1,362
"TrimbleM","TrimbleM","Female","University","Uruguay","Y",1,NA,0,0,6.47500647500647e-06,1,0.276803592808417,1,363
"TrujilloF","TrujilloF",NA,NA,NA,"N",NA,6,0,0.110084521092685,1.79356111559501e-05,4,0.824041618118436,6,364
"UrbánRamírezJ","UrbánRamírezJ","Male","University","México","Y",5,3,19,0,6.68163352576438e-06,2,0.400922885357161,8,365
"UtrerasV","UtrerasV",NA,NA,NA,"N",4,3,19,0.0141631540713373,1.79022180848207e-05,2,0.259291344643788,7,366
"VanBressemM","VanBressemM","Female","NGO","Perú","Y",25,NA,0,0.372649475157653,1.80099054479964e-05,4,3.44969115876811,25,367
"vanHeldenA","vanHeldenA",NA,NA,NA,"N",NA,1,0,0.022586417992302,1.78942094338272e-05,1,0.0509394128853976,1,368
"VanWaerebeekK","VanWaerebeekK","Male","NGO","Perú","Y",14,5,378.599422799423,0.248684693953454,1.79781744961617e-05,4,0.263193101548982,19,369
"VaskeT","VaskeT",NA,NA,NA,"N",NA,1,0,0,6.31293204128658e-06,1,0.276803592808417,1,370
"VázquezJuárezR","VázquezJuárezR",NA,NA,NA,"N",NA,1,0,0,6.68056223611779e-06,1,0.276803592808417,1,371
"VelascoEscuderoM","VelascoEscuderoM",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,372
"VenturottiA","VenturottiA",NA,NA,NA,"N",NA,2,0,0.0146757396508465,1.78498116844867e-05,2,0.130046196299953,2,373
"VeraN","VeraN",NA,NA,NA,"N",NA,1,0,0,6.3448153341497e-06,1,0.276803592808417,1,374
"VergaraParenteJ","VergaraParenteJ",NA,NA,NA,"N",NA,2,0,0,6.34485559108675e-06,1,0.276803592808417,2,375
"VianaD","VianaD",NA,NA,NA,"N",NA,1,0,0.000255115516262446,1.77679856434676e-05,1,0.274252437645793,1,376
"ViannaJ","ViannaJ",NA,NA,NA,"N",NA,2,0,0.0707985978522804,1.78868478008121e-05,2,0.431182385714387,2,377
"VicenteA","VicenteA",NA,NA,NA,"N",NA,3,0,0.221593745440895,1.79314302108736e-05,3,1.93913386160053,3,378
"ViddiF","ViddiF",NA,NA,NA,"N",NA,1,0,0.0338453351379079,1.79256444269171e-05,1,0.0616497585706613,1,379
"ViolanteT","ViolanteT",NA,NA,NA,"N",NA,1,0,0,6.3287934788112e-06,1,0.276803592808417,1,380
"VisserI","VisserI",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,381
"VivoM","VivoM",NA,NA,NA,"N",NA,1,0,3.33347250455033e-05,1.76706543443304e-05,1,0.276470245557962,1,382
"WalshM","WalshM",NA,NA,NA,"N",NA,1,0,0,6.3448153341497e-06,1,0.276803592808417,1,383
"WangJ","WangJ",NA,NA,NA,"N",NA,2,0,0.18164702968434,1.79179358537896e-05,2,1.53966670403498,2,384
"WangY","WangY",NA,NA,NA,"N",NA,1,0,0.022586417992302,1.78942094338272e-05,1,0.0509394128853974,1,385
"WartzokD","WartzokD",NA,NA,NA,"N",NA,1,0,0.00266791511610141,1.78386670947947e-05,1,0.250124441647403,1,386
"WedekinL","WedekinL","Male","University","Brazil","Y",2,3,97,0.0339787363685119,1.79150468478475e-05,3,0.570677880556357,5,387
"WeiskelH","WeiskelH","Female","NGO","USA","Y",2,1,2,0.0304018721422176,1.78782136088962e-05,3,0.0141499399244174,3,388
"WellsR","WellsR",NA,NA,NA,"N",NA,1,0,0.0201671755276048,1.78778939840887e-05,1,0.0751318375323697,1,389
"WerneckM","WerneckM",NA,NA,NA,"N",NA,1,0,0,6.3448153341497e-06,1,0.276803592808417,1,390
"WetzelD","WetzelD",NA,NA,NA,"N",NA,1,0,0.051627899716061,1.79076680634648e-05,1,0.239475404352193,1,391
"WilliamsonC","WilliamsonC",NA,NA,NA,"N",NA,1,0,0.022586417992302,1.78942094338272e-05,1,0.0509394128853976,1,392
"WurdigN","WurdigN",NA,NA,NA,"N",NA,1,0,0.00397443678303731,1.78332590280874e-05,1,0.237059224978044,1,393
"YatesO","YatesO","Male","Other","Chile","Y",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,394
"YoungR","YoungR",NA,NA,NA,"N",NA,1,0,0,6.34469456640357e-06,1,0.276803592808417,1,395
"ZampirolliE","ZampirolliE",NA,NA,NA,"N",NA,3,0,0.221593745440895,1.79314302108736e-05,3,1.93913386160053,3,396
"ZanelattoR","ZanelattoR",NA,NA,NA,"N",NA,1,0,0.0692181436514802,1.79047823673703e-05,1,0.415377843706385,1,397
"ZapataRíosG","ZapataRíosG","Male","NGO","Ecuador","Y",1,1,0,0.00257269486802006,1.78189593727726e-05,2,0.251076644128217,2,398
"ZerbiniA","ZerbiniA",NA,NA,NA,"N",NA,4,0,0.262477948439342,1.79256444269171e-05,4,2.34797589158501,4,399
"ZeregaA","ZeregaA",NA,NA,NA,"N",NA,1,0,0,6.37702231320107e-06,1,0.276803592808417,1,400
